Category;Approach;Output;;Dataset;;;;;Indexing;;;;Input;;;;;;;Retrieval;;;;;Presentation;;;Languages
Constraint-based;Satsy~\cite{stolee_finding_2012,stolee_toward_2012,stolee_solving_2014};Yes;;Yes;;;;;Yes;;;;;Yes;Yes;;;;;;;Yes;;;Yes;Yes;;Java, C
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Extended Satsy~\cite{stolee_code_2016};Yes;;Yes;;;;;Yes;;Yes;;;;Yes;Yes;;;;;Yes;Yes;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Quebio~\cite{jiang_research_2018};Yes;;;Yes;;;;;;;;;Yes;Yes;;;;;;Yes;Yes;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Extended Quebio~\cite{chen_enhancing_2020};Yes;;;Yes;Yes;;;;;;;Yes;;Yes;;;;;Yes;;Yes;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clone-based;Keivanloo et al.~\cite{keivanloo_spotting_2014};Yes;;;Yes;;;;Yes;;;;;;;;;;;Yes;;;;;Yes;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CodeNuance~\cite{liu_supporting_2018};Yes;;;Yes;;;;Yes;;;;;;;;;;;Yes;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rahman and Roy~\cite{rahman_use_2014};Yes;;;Yes;;;;Yes;;;;;Yes;;;;;;;Yes;;;;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MUSE~\cite{moreno_how_2015};;Yes;Yes;;;;;;;;;;;;;;;;;Yes;;;;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
